ID,Name,YTW,Time to Maturity
BK930045 Corp,AAPL 2.55 08/20/60,4.078963279724121,38.12183436002738
EK732419 Corp,AAPL 3.45 02/09/45,4.280082702636719,22.595482546201232
BQ791814 Corp,AAPL 1.7 08/05/31,3.638780355453491,9.078713210130047
AM383401 Corp,AAPL 3.35 02/09/27,3.2711246013641357,4.594113620807666
JK138046 Corp,AAPL 3 ¼ 02/23/26,3.2704415321350098,3.6331279945242985
BK930044 Corp,AAPL 2.4 08/20/50,4.118884563446045,28.12046543463381
EK900680 Corp,AAPL 3.2 05/13/25,2.9102134704589844,2.8501026694045173
BN849497 Corp,AAPL 2.65 02/08/51,4.132388114929199,28.591375770020534
BN849496 Corp,AAPL 2 ⅜ 02/08/41,4.121397972106934,18.5927446954141
AM383416 Corp,AAPL 4 ¼ 02/09/47,4.264127731323242,24.594113620807665
BQ791816 Corp,AAPL 2.7 08/05/51,4.136417388916016,29.078713210130047
BJ262209 Corp,AAPL 1 ⅛ 05/11/25,3.1290009021759033,2.844626967830253
BQ791790 Corp,AAPL 1.4 08/05/28,3.4621827602386475,6.080766598220397
JK137360 Corp,AAPL 2.85 02/23/23,3.1437127590179443,0.6324435318275154
BN849494 Corp,AAPL 1.2 02/08/28,3.453132152557373,5.590691307323751
EJ659253 Corp,AAPL 3.85 05/04/43,4.346428871154785,20.824093086926762
ZR462222 Corp,AAPL 2.2 09/11/29,3.634352684020996,7.181382614647502
EK248888 Corp,AAPL 4.45 05/06/44,4.363354206085205,21.831622176591377
BK930042 Corp,AAPL 0.55 08/20/25,3.1011240482330322,3.1211498973305956
BQ791818 Corp,AAPL 2.85 08/05/61,4.209125995635986,39.08008213552361
EK732395 Corp,AAPL 2 ½ 02/09/25,3.0797183513641357,2.595482546201232
BJ262206 Corp,AAPL 0 ¾ 05/11/23,2.7544212341308594,0.8432580424366872
ZR462220 Corp,AAPL 1.8 09/11/24,3.092268943786621,2.1820670773442847
AO789426 Corp,AAPL 2.513 08/19/24,3.635009288787842,2.1190965092402463
JK138052 Corp,AAPL 4 ½ 02/23/36,3.896090269088745,13.631759069130732
QZ067731 Corp,AAPL 2.45 08/04/26,3.2820136547088623,4.076659822039699
BK930043 Corp,AAPL 1 ¼ 08/20/30,3.5976123809814453,8.120465434633813
LW316409 Corp,AAPL 3.35 01/10/24,3.6290342807769775,1.51129363449692
BJ262213 Corp,AAPL 1.65 05/11/30,3.68988037109375,7.84394250513347
BN849498 Corp,AAPL 2.8 02/08/61,4.2195210456848145,38.5927446954141
JK138055 Corp,AAPL 4.65 02/23/46,4.356225967407227,23.633127994524298
AN964384 Corp,AAPL 3 06/20/27,3.2719130516052246,4.952772073921971
BJ262218 Corp,AAPL 2.65 05/11/50,4.149683952331543,27.84394250513347
UV843148 Corp,AAPL 1 ⅜ 01/17/24,1.1105772256851196,1.5304585900068446
BN849493 Corp,AAPL 0.7 02/08/26,3.1371028423309326,3.592060232717317
AP033570 Corp,AAPL 2.9 09/12/27,3.4072818756103516,5.1827515400410675
ZR462223 Corp,AAPL 2.95 09/11/49,4.195861339569092,27.1813826146475
AM383365 Corp,AAPL 3 02/09/24,2.9112606048583984,1.593429158110883
ZQ512622 Corp,AAPL 0 ½ 11/15/31,2.1836793422698975,9.357973990417522
ZQ512620 Corp,AAPL 0 11/15/25,1.4843707084655762,3.359342915811088
BN849495 Corp,AAPL 1.65 02/08/31,3.675117254257202,8.591375770020534
QZ067739 Corp,AAPL 3.85 08/04/46,4.333951473236084,24.076659822039698
EK900686 Corp,AAPL 4 ⅜ 05/13/45,4.368997097015381,22.850102669404517
LW332214 Corp,AAPL 3.6 06/10/26,4.130924701690674,3.9260780287474333
ZR462221 Corp,AAPL 2.05 09/11/26,3.284564733505249,4.180698151950718
EK583811 Corp,AAPL 1 11/10/22,0.22472773492336273,0.34496919917864477
AN466565 Corp,AAPL 2.85 05/11/24,3.0290701389312744,1.8453114305270362
AN646797 Corp,AAPL 0 ⅞ 05/24/25,1.4163907766342163,2.8802190280629705
AP891000 Corp,AAPL 2.4 01/13/23,2.940958023071289,0.5201916495550992
AN646815 Corp,AAPL 1 ⅜ 05/24/29,1.986548662185669,6.880219028062971
EK747255 Corp,AAPL 0 ⅜ 11/25/24,0.693453311920166,2.3874058863791925
AP891116 Corp,AAPL 3 ¾ 11/13/47,4.322726726531982,25.352498288843258
UV551253 Corp,AAPL 3.7 08/28/22,1.9032750129699707,0.14236824093086928
EK583835 Corp,AAPL 1 ⅝ 11/10/26,1.7312668561935425,4.344969199178645
UV843143 Corp,AAPL 2 09/17/27,1.873292326927185,5.196440793976728
AP891053 Corp,AAPL 2 ¾ 01/13/25,3.0074715614318848,2.521560574948665
ZR462219 Corp,AAPL 1.7 09/11/22,2.010368824005127,0.1806981519507187
UV350533 Corp,AAPL 3.05 07/31/29,2.8463218212127686,7.066392881587953
AP033566 Corp,AAPL 2.1 09/12/22,2.871382474899292,0.1834360027378508
AP033572 Corp,AAPL 3 ¾ 09/12/47,4.306823253631592,25.182751540041068
UV355196 Corp,AAPL 3.6 07/31/42,3.5196022987365723,20.06570841889117
EK747237 Corp,AAPL 0 ¾ 02/25/30,1.5250129699707031,7.638603696098563
EK248882 Corp,AAPL 3.45 05/06/24,2.9460349082946777,1.8316221765913758
AN466677 Corp,AAPL 3.2 05/11/27,3.306758165359497,4.843258042436688
AP891095 Corp,AAPL 3 11/13/27,3.371352434158325,5.352498288843258
EJ659248 Corp,AAPL 2.4 05/03/23,2.8964011669158936,0.8213552361396304
